"sec"	"mA"	"mV"
1.01    -0.0770364999771118    -300.326385498047
2.01    -0.0584565959870815    -300.326385498047
3.01    -0.0472604669630527    -300.288391113281
4.001    -0.0402827486395836    -300.175811767578
4.999    -0.0352522246539593    -300.250885009766
5.997    -0.0313578322529793    -300.250885009766
6.994    -0.0285185575485229    -300.213348388672
7.994    -0.0263283494859934    -300.288391113281
8.995    -0.0240560993552208    -300.288391113281
9.991    -0.022514957934618    -300.326385498047
10.983    -0.020891772583127    -300.326385498047
11.986    -0.0197566859424114    -300.250885009766
12.979    -0.0187015645205975    -300.250885009766
13.979    -0.0177274458110332    -300.326385498047
14.979    -0.0167543664574623    -300.363922119141
15.975    -0.0160242971032858    -300.250885009766
16.973    -0.0152942277491093    -300.250885009766
17.964    -0.0148071683943272    -300.175811767578
18.963    -0.0138330506160855    -300.250885009766
19.964    -0.0135900406166911    -300.288391113281
20.957    -0.0132660260424018    -300.250885009766
21.957    -0.0122919082641602    -300.250885009766
22.957    -0.0119678946211934    -300.175811767578
23.949    -0.0118048489093781    -300.138305664063
24.948    -0.0115618389099836    -300.175811767578
25.948    -0.0111557831987739    -300.250885009766
26.941    -0.0105877202004194    -300.250885009766
27.945    -0.0104257138445973    -300.213348388672
28.941    -0.0101827038452029    -300.213348388672
29.934    -0.0101017002016306    -300.175811767578
30.932    -0.0098576508462429    -300.175811767578
31.933    -0.00977664813399315    -300.213348388672
32.926    -0.00928958877921104    -300.213348388672
33.923    -0.0089655751362443    -300.175811767578
34.926    -0.00872256420552731    -300.213348388672
35.918    -0.00864052306860685    -300.250885009766
36.917    -0.00839751213788986    -300.250885009766
37.917    -0.00847851578146219    -300.250885009766
38.916    -0.00823550578206778    -300.250885009766
39.912    -0.00815450213849545    -300.213348388672
40.912    -0.007829450070858    -300.250885009766
41.903    -0.00766744278371334    -300.175811767578
42.902    -0.00750543596222997    -300.250885009766
43.902    -0.00726138707250357    -300.213348388672
44.9    -0.00726138707250357    -300.326385498047
45.899    -0.00701837707310915    -300.326385498047
46.899    -0.00701837707310915    -300.326385498047
47.888    -0.00693737342953682    -300.250885009766
48.886    -0.00693737342953682    -300.250885009766
49.886    -0.00669332453981042    -300.213348388672
50.887    -0.00677536660805345    -300.175811767578
51.882    -0.00701837707310915    -300.175811767578
52.879    -0.00677536660805345    -300.250885009766
53.871    -0.00685637025162578    -300.250885009766
54.871    -0.006450314540416    -300.250885009766
55.865    -0.006450314540416    -300.326385498047
